user
your@email.com

repository
/your/path

Before 2024 working hours;morning_start;morning_end;afternoon_start;afternoon_end
;09:00;12:00;14:00;18:00

Current working hours at home;morning_start;morning_end;afternoon_start;afternoon_end
4 5;09:30;13:00;14:00;16:30

Current working hours at office;morning_start;morning_end;afternoon_start;afternoon_end
1 2 3;08:00;11:30;13:00;17:00

project_name;commit_id;branch;commit_title;modified_files;added_lines;deleted_lines;date;time;is_overtime;is_saturday;is_sunday
git-history;b53a44569e8c360bad527c3659506adfe686bd41;"main";"chore: update sample";1;14;6;2025-02-04;00:16;1;0;0
git-history;a01c0c7d6ba8b3f64061b82258f9c646f5d731d5;"main";"fix: modified file count fixed";1;1;1;2025-02-04;00:15;1;0;0
git-history;b42675303b21dead1c80c2f71c59ba12b15514be;"main";"fix: overtime calculation";1;3;4;2025-02-03;23:36;1;0;0
git-history;9a844f2c61be38e59d85aef4ca45b960489ef19a;"main";"fix: update sample !";1;12;12;2025-02-03;23:30;1;0;0
git-history;1a9dc424d7025ff9e3214372ad58862859888fc0;"main";"fix: "," replaced by ","";1;2;2;2025-02-03;22:55;1;0;0
git-history;fd15069cf31254afb1a072fbbefb34508f9810f3;"main";"fix: awk seperator with pipe now";1;5;5;2025-02-03;22:49;1;0;0
git-history;643b8e374096857c919241f414f92ec3ad6fa999;"main";"chore: beautiful readme update";1;79;40;2025-02-03;20:15;1;0;0
git-history;26c47a65843145ce68aa2dabfd825e2018376c24;"main";"chore: changing generated file";3;2;2;2025-02-03;19:57;1;0;0
git-history;10325a579166c7a680f495c7d6b14c9d63f80b1c;"main";"feat: new column is_overtime and is_weekend";1;55;3;2025-02-03;19:54;1;0;0
git-history;e8a813944fb9c9dd3d2587b887bc6e81ea1aa908;"main";"chore: update readme";3;27;13;2025-02-03;19:54;1;0;0
git-history;3cd91683ae4423d237e8db1653eee9cece8e5e35;"main";"feat: update readme with usage of a new config file";3;22;0;2025-02-03;19:41;1;0;0
git-history;5a56f080fe8577894754d6c2f5e2ceb9569704c3;"main";"chore: update readme";1;4;0;2025-02-03;00:01;1;0;0
git-history;24b0af2c811e3752503c04b55fe7567a9a01bfea;"main";"chore: sample generated";1;12;0;2025-02-02;23:59;1;0;1
git-history;43ff757104f47767069e4bc00f5af5c6ff0d3b6c;"main";"fix: date and time fixed";1;2;2;2025-02-02;23:59;1;0;1
git-history;9042cbb50c04c6b588534a635a6aa69be67cd79b;"main";"fix: deleted and added lines";1;11;5;2025-02-02;23:56;1;0;1
git-history;874b48de612eb26a1731cfc859ddf843e248565e;"main";"chore: remove useless";4;0;36;2025-02-02;23:55;1;0;1
git-history;77ce100ef21fa7f8313c4023fc6c0ba925a7a6bc;"main";"chore: test";4;36;0;2025-02-02;23:52;1;0;1
git-history;6042688d02d1b400e1cf3025b61f68f1696d8e5e;"main";"feat: now generate inside a specific folder";1;4;1;2025-02-02;23:22;1;0;1
git-history;8b9ace2d7175426bfc2dbfc0f22c0ee0129fca14;"main";"chore: comments";1;16;20;2025-02-02;23:19;1;0;1
git-history;470681df26714c57c4a99a086f054001c58dcf1b;"main";"chore: renaming";1;6;8;2025-02-02;23:13;1;0;1
git-history;d0cfe01cd75e305be7f1ad8a431b873025b97b16;"main";"chore: add readme";1;35;0;2025-02-02;23:13;1;0;1
git-history;1398254da9be00c73ee2f74cf39ce711a5c6e66e;"main";"fix: last commit missing + check on chmod";1;18;2;2025-02-02;23:13;1;0;1
git-history;254ec4fb223402dd51fe3dd4d1338595cb5093fa;"main";"feat: ajout du nombre de fichier modifier et les lignes ajoutées ou supprimées";1;12;2;2025-02-02;22:33;1;0;1
git-history;238a96fe222fef4439b12496b90b30f22a696716;"main";"chore: changing names";2;3;3;2025-02-02;22:18;1;0;1
git-history;4d428030556cd7788828673cbacaae706ea8955f;"main";"init project";2;72;0;2025-02-02;22:12;1;0;1
